,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
0,CA02,140105686,SYSC llc,2020-04-10 08:00:20.964843750,2020,2960623488,2020-03-30,2020-04-10,2020-03-31,CA10,2309.7899999999995,0-15
1,U001,200744019,TARG us,2020-03-20 11:35:29.625000000,2020,1930659387,2020-03-19,2020-04-03,2020-03-19,NAA8,11173.02,
2,U001,200418007,AM ,2020-04-14 00:03:53.750000000,2020,1930610806,2020-11-03,2020-03-26,2020-03-11,NAA8,3525.59,16-30
3,U001,200739534,OK systems,2020-04-18 07:05:17.500000000,2020,1930788296,2020-04-15,2020-04-30,2020-04-15,NAA8,121105.65,
4,U001,200353024,DECA corporation,2020-04-03 11:28:09.375000000,2020,1930817482,2020-04-23,2020-04-26,2020-04-16,NAM2,3726.06,
5,U001,200744019,TARG associates,2020-03-19 18:06:35.125000000,2020,1930676042,2020-03-21,2020-04-05,2020-03-21,NAA8,5893.01,
6,U001,200337148,COAS llc,2020-04-20 15:01:23.250000000,2020,1930592246,2020-02-03,2020-03-17,2020-03-02,NAA8,11380.83,31-45
7,U001,200794332,COST associates,2020-05-03 06:44:11.312500000,2020,1930731070,2020-07-04,2020-04-22,2020-04-07,NAAX,3863.93,0-15
8,U001,200794332,COST llc,2020-05-30 06:52:35.875000000,2020,1930803605,2020-04-23,2020-05-08,2020-04-23,NAAX,74453.01,16-30
9,U001,200803720,DEC corp,2020-03-30 06:11:21.250000000,2020,1930698352,2020-03-25,2020-04-08,2020-03-16,NAM4,138.6,
10,U001,200794332,COST co,2020-04-17 11:54:43.375000000,2020,1930647189,2020-03-13,2020-03-28,2020-03-13,NAAX,32715.47,16-30
11,U001,200020431,DEC us,2020-05-08 16:05:34.500000000,2020,1930861637,2020-06-05,2020-05-24,2020-05-01,NAM4,174.72,
12,U001,200769623,WAL-MAR associates,2020-04-23 06:53:47.000000000,2020,1930635649,2020-12-03,2020-03-27,2020-03-12,NAH4,767.78,16-30
13,CA02,140105785,SHOPPE foundation,2020-04-08 09:45:31.390625000,2020,2960624627,2020-03-27,2020-04-10,2020-03-31,CA10,1980.7199999999998,
14,U001,200769623,WAL-MAR ,2020-03-09 20:32:26.531250000,2020,1930577078,2020-02-28,2020-03-14,2020-02-28,NAH4,14514.68,
15,U001,200769623,WAL-MAR foundation,2020-05-21 17:28:19.500000000,2020,1930774741,2020-10-04,2020-04-25,2020-04-10,NAH4,55400.31,16-30
16,U001,200772670,ASSOCIAT corporation,2020-04-10 13:54:50.750000000,2020,1930765053,2020-09-04,2020-04-24,2020-04-09,NAU5,174766.36,
17,U001,200900909,SYSCO systems,2020-03-08 23:54:47.500000000,2020,1930645969,2020-03-13,2020-04-14,2020-03-13,NA32,31512.75,
18,U001,200769623,WAL-MAR systems,2020-04-08 13:22:22.625000000,2020,1930718081,2020-03-30,2020-04-14,2020-03-30,NAH4,19701.55,
19,U001,200726979,BJ'S  trust,2020-04-26 01:12:26.718750000,2020,1930788667,2020-04-16,2020-05-01,2020-04-16,NAA8,132.72,
20,U001,200769623,WAL-MAR llc,2020-03-31 17:33:28.750000000,2020,1930709919,2020-03-29,2020-04-13,2020-03-29,NAH4,1121.15,
21,U001,200769623,WAL-MAR llc,2020-05-19 15:21:20.750000000,2020,1930752568,2020-06-04,2020-04-21,2020-04-06,NAH4,11394.84,16-30
22,CA02,140105847,GORDON F co,2020-05-05 11:29:40.625000000,2020,2960627274,2020-08-04,2020-04-18,2020-04-08,CA10,2579.64,16-30
23,U001,200744019,TARG foundation,2020-04-07 14:43:41.562500000,2020,1930648342,2020-03-15,2020-03-30,2020-03-15,NAA8,52123.3,0-15
24,U001,200769623,WAL-MAR systems,2020-04-25 13:50:59.500000000,2020,1930632791,2020-10-03,2020-03-25,2020-03-10,NAH4,14994.01,31-45
25,U001,200769623,WAL-MAR llc,2020-04-14 11:09:47.750000000,2020,1930617194,2020-06-03,2020-03-21,2020-03-06,NAH4,36.06,16-30
26,U001,200418007,AM in,2020-04-16 21:34:44.437500000,2020,1930752243,2020-06-04,2020-04-21,2020-04-06,NAA8,25836.19,
27,U001,200739006,AL foundation,2020-05-14 14:03:22.125000000,2020,1930768064,2020-04-15,2020-04-30,2020-04-15,NAA8,4309.05,0-15
