,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
0,CA02,140105686,SYSC llc,2020-10-07 17:04:55.750000000,2020,2960623488,2020-03-30,2020-10-04,2020-03-31,CA10,2309.79,0-15
1,U001,200744019,TARG us,2020-03-13 15:28:04.187500000,2020,1930659387,2020-03-19,2020-03-04,2020-03-19,NAA8,11173.02,0-15
2,U001,200418007,AM ,2020-05-01 03:59:31.750000000,2020,1930610806,2020-11-03,2020-03-26,2020-11-03,NAA8,3525.59,31-45
3,U001,200739534,OK systems,2020-05-01 02:54:02.460937500,2020,1930788296,2020-04-15,2020-04-30,2020-04-15,NAA8,121105.65,0-15
4,U001,200353024,DECA corporation,2020-05-09 06:17:59.875000000,2020,1930817482,2020-04-23,2020-04-26,2020-04-16,NAM2,3726.06,0-15
5,U001,200744019,TARG associates,2020-05-26 03:30:22.625000000,2020,1930676042,2020-03-21,2020-05-04,2020-03-21,NAA8,5893.01,16-30
6,CA02,140106408,WAL-M corp,2020-02-26 18:09:31.625000000,2020,2960618790,2020-06-03,2020-03-16,2020-06-03,CA10,64982.589,
7,U001,200337148,COAS llc,2020-02-15 22:26:33.250000000,2020,1930592246,2020-02-03,2020-03-17,2020-02-03,NAA8,11380.83,
8,U001,200794332,COST associates,2020-05-27 09:52:42.500000000,2020,1930731070,2020-07-04,2020-04-22,2020-07-04,NAAX,3863.93,31-45
9,U001,200794332,COST llc,2020-08-21 18:30:57.500000000,2020,1930803605,2020-04-23,2020-08-05,2020-04-23,NAAX,74453.01,16-30
10,U001,200803720,DEC corp,2020-08-08 13:47:03.437500000,2020,1930698352,2020-03-25,2020-08-04,2020-03-16,NAM4,138.6,0-15
11,U001,200794332,COST co,2020-04-19 21:30:47.125000000,2020,1930647189,2020-03-13,2020-03-28,2020-03-13,NAAX,32715.47,16-30
12,U001,200020431,DEC us,2020-06-17 07:29:07.000000000,2020,1930861637,2020-06-05,2020-05-24,2020-01-05,NAM4,174.72,16-30
13,U001,200769623,WAL-MAR associates,2020-04-01 13:47:22.593750000,2020,1930635649,2020-12-03,2020-03-27,2020-12-03,NAH4,767.78,0-15
14,CA02,140105785,SHOPPE foundation,2020-10-03 23:50:38.331420898,2020,2960624627,2020-03-27,2020-10-04,2020-03-31,CA10,1980.72,
15,U001,200769623,WAL-MAR ,2020-03-15 21:08:16.593750000,2020,1930577078,2020-02-28,2020-03-14,2020-02-28,NAH4,14514.68,0-15
16,U001,200769623,WAL-MAR foundation,2020-05-05 22:41:45.500000000,2020,1930774741,2020-10-04,2020-04-25,2020-10-04,NAH4,55400.31,0-15
17,U001,200772670,ASSOCIAT corporation,2020-05-16 08:39:37.250000000,2020,1930765053,2020-09-04,2020-04-24,2020-09-04,NAU5,174766.36,16-30
18,U001,200900909,SYSCO systems,2020-05-02 00:41:54.375000000,2020,1930645969,2020-03-13,2020-04-14,2020-03-13,NA32,31512.75,16-30
19,U001,200769623,WAL-MAR systems,2020-04-19 07:38:56.781250000,2020,1930718081,2020-03-30,2020-04-14,2020-03-30,NAH4,19701.55,0-15
20,U001,200726979,BJ'S  trust,2020-01-12 01:02:15.937500000,2020,1930788667,2020-04-16,2020-01-05,2020-04-16,NAA8,132.72,0-15
21,U001,200769623,WAL-MAR llc,2020-04-23 00:49:43.000000000,2020,1930709919,2020-03-29,2020-04-13,2020-03-29,NAH4,1121.15,0-15
22,U001,200769623,WAL-MAR llc,2020-04-18 20:49:05.625000000,2020,1930752568,2020-06-04,2020-04-21,2020-06-04,NAH4,11394.84,
23,CA02,140105847,GORDON F co,2020-04-30 11:19:08.875000000,2020,2960627274,2020-08-04,2020-04-18,2020-08-04,CA10,2579.64,0-15
