,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd
3,CA02,140105686,SYSC llc,,2020,2960623488,30-03-2020,10-04-2020,31-03-2020,CA10,2309.79
7,U001,200744019,TARG us,,2020,1930659387,19-03-2020,03-04-2020,19-03-2020,NAA8,11173.02
10,U001,200418007,AM ,,2020,1930610806,11-03-2020,26-03-2020,11-03-2020,NAA8,3525.59
14,U001,200739534,OK systems,,2020,1930788296,15-04-2020,30-04-2020,15-04-2020,NAA8,121105.65
15,U001,200353024,DECA corporation,,2020,1930817482,23-04-2020,26-04-2020,16-04-2020,NAM2,3726.06
22,U001,200744019,TARG associates,,2020,1930676042,21-03-2020,05-04-2020,21-03-2020,NAA8,5893.01
25,CA02,140106408,WAL-M corp,,2020,2960618790,06-03-2020,16-03-2020,06-03-2020,CA10,64982.589
27,U001,200337148,COAS llc,,2020,1930592246,02-03-2020,17-03-2020,02-03-2020,NAA8,11380.83
35,U001,200794332,COST associates,,2020,1930731070,07-04-2020,22-04-2020,07-04-2020,NAAX,3863.93
37,U001,200794332,COST llc,,2020,1930803605,23-04-2020,08-05-2020,23-04-2020,NAAX,74453.01
45,U001,200803720,DEC corp,,2020,1930698352,25-03-2020,08-04-2020,16-03-2020,NAM4,138.6
51,U001,200794332,COST co,,2020,1930647189,13-03-2020,28-03-2020,13-03-2020,NAAX,32715.47
52,U001,200020431,DEC us,,2020,1930861637,06-05-2020,24-05-2020,01-05-2020,NAM4,174.72
57,U001,200769623,WAL-MAR associates,,2020,1930635649,12-03-2020,27-03-2020,12-03-2020,NAH4,767.78
70,CA02,140105785,SHOPPE foundation,,2020,2960624627,27-03-2020,10-04-2020,31-03-2020,CA10,1980.72
76,U001,200769623,WAL-MAR ,,2020,1930577078,28-02-2020,14-03-2020,28-02-2020,NAH4,14514.68
77,U001,200769623,WAL-MAR foundation,,2020,1930774741,10-04-2020,25-04-2020,10-04-2020,NAH4,55400.31
79,U001,200772670,ASSOCIAT corporation,,2020,1930765053,09-04-2020,24-04-2020,09-04-2020,NAU5,174766.36
83,U001,200900909,SYSCO systems,,2020,1930645969,13-03-2020,14-04-2020,13-03-2020,NA32,31512.75
84,U001,200769623,WAL-MAR systems,,2020,1930718081,30-03-2020,14-04-2020,30-03-2020,NAH4,19701.55
88,U001,200726979,BJ'S  trust,,2020,1930788667,16-04-2020,01-05-2020,16-04-2020,NAA8,132.72
